round,per_round_epsilon,accuracy,precision,recall,f1_score,roc_auc,pr_auc,num_samples
40,0.1,0.45078918266814116,0.45078918266814116,1.0,0.621439955651029,0.5,0.45078918266814116,9947
41,0.1,,,,,,,
42,0.1,,,,,,,
43,0.1,,,,,,,
44,0.1,,,,,,,
45,0.1,,,,,,,
46,0.1,,,,,,,
47,0.1,,,,,,,
48,0.1,,,,,,,
49,0.1,,,,,,,
50,0.1,0.5302101136020911,0.43601895734597157,0.14362176628010706,0.21607112900520048,0.4955707220563999,0.44866785681901605,9947
1,0.2,,,,,,,
2,0.2,,,,,,,
3,0.2,,,,,,,
4,0.2,,,,,,,
5,0.2,,,,,,,
6,0.2,,,,,,,
7,0.2,,,,,,,
8,0.2,,,,,,,
9,0.2,,,,,,,
10,0.2,0.49472202674173116,0.45373847729600547,0.5927743086529884,0.5140204989363759,0.5035077840171404,0.45253744875218743,9947
11,0.2,,,,,,,
12,0.2,,,,,,,
13,0.2,,,,,,,
14,0.2,,,,,,,
15,0.2,,,,,,,
16,0.2,,,,,,,
17,0.2,,,,,,,
18,0.2,,,,,,,
19,0.2,,,,,,,
20,0.2,0.4636573841359204,0.44238320920785373,0.7285905441570026,0.5505097312326228,0.4873961324116516,0.444664669890541,9947
21,0.2,,,,,,,
22,0.2,,,,,,,
23,0.2,,,,,,,
24,0.2,,,,,,,
25,0.2,,,,,,,
26,0.2,,,,,,,
27,0.2,,,,,,,
28,0.2,,,,,,,
29,0.2,,,,,,,
30,0.2,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
31,0.2,,,,,,,
32,0.2,,,,,,,
33,0.2,,,,,,,
34,0.2,,,,,,,
35,0.2,,,,,,,
36,0.2,,,,,,,
37,0.2,,,,,,,
38,0.2,,,,,,,
39,0.2,,,,,,,
40,0.2,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
41,0.2,,,,,,,
42,0.2,,,,,,,
43,0.2,,,,,,,
44,0.2,,,,,,,
45,0.2,,,,,,,
46,0.2,,,,,,,
47,0.2,,,,,,,
48,0.2,,,,,,,
49,0.2,,,,,,,
50,0.2,0.5447873730773097,0.4680232558139535,0.07181088314005353,0.12451662799690642,0.5024073635908943,0.4520267766808422,9947
1,5.0,,,,,,,
2,5.0,,,,,,,
3,5.0,,,,,,,
4,5.0,,,,,,,
5,5.0,,,,,,,
6,5.0,,,,,,,
7,5.0,,,,,,,
8,5.0,,,,,,,
9,5.0,,,,,,,
10,5.0,0.4645621795516236,0.4545552677029361,0.9391168599464763,0.6125981961012511,0.5070724546592983,0.4543259766203092,9947
11,5.0,,,,,,,
12,5.0,,,,,,,
13,5.0,,,,,,,
14,5.0,,,,,,,
15,5.0,,,,,,,
16,5.0,,,,,,,
17,5.0,,,,,,,
18,5.0,,,,,,,
19,5.0,,,,,,,
20,5.0,0.48054689856238064,0.4481239556433237,0.6578947368421053,0.5331164723954098,0.4963498259232534,0.4490351226185561,9947
21,5.0,,,,,,,
22,5.0,,,,,,,
23,5.0,,,,,,,
24,5.0,,,,,,,
25,5.0,,,,,,,
26,5.0,,,,,,,
27,5.0,,,,,,,
28,5.0,,,,,,,
29,5.0,,,,,,,
30,5.0,0.5332260983211018,0.4263206672845227,0.10258697591436218,0.1653783929534424,0.4944753636620895,0.4482790316698217,9947
31,5.0,,,,,,,
32,5.0,,,,,,,
33,5.0,,,,,,,
34,5.0,,,,,,,
35,5.0,,,,,,,
36,5.0,,,,,,,
37,5.0,,,,,,,
38,5.0,,,,,,,
39,5.0,,,,,,,
40,5.0,0.5167387151905097,0.4429932933286269,0.2798840321141838,0.34303676370097036,0.49559517493647554,0.44860554295670646,9947
41,5.0,,,,,,,
42,5.0,,,,,,,
43,5.0,,,,,,,
44,5.0,,,,,,,
45,5.0,,,,,,,
46,5.0,,,,,,,
47,5.0,,,,,,,
48,5.0,,,,,,,
49,5.0,,,,,,,
50,5.0,0.501960390067357,0.45144628099173556,0.4872881355932203,0.46868296868296866,0.5006457152430681,0.4511093788851469,9947
1,5.0,,,,,,,
2,5.0,,,,,,,
3,5.0,,,,,,,
4,5.0,,,,,,,
5,5.0,,,,,,,
6,5.0,,,,,,,
7,5.0,,,,,,,
8,5.0,,,,,,,
9,5.0,,,,,,,
10,5.0,0.5474012265004524,0.3392857142857143,0.00423728813559322,0.008370044052863436,0.4987322263485947,0.45031671034448684,9947
11,5.0,,,,,,,
12,5.0,,,,,,,
13,5.0,,,,,,,
14,5.0,,,,,,,
15,5.0,,,,,,,
16,5.0,,,,,,,
17,5.0,,,,,,,
18,5.0,,,,,,,
19,5.0,,,,,,,
20,5.0,0.5323213029053986,0.44109396914446003,0.14027653880463872,0.2128595600676819,0.4971767333336273,0.44937424061311654,9947
21,5.0,,,,,,,
22,5.0,,,,,,,
23,5.0,,,,,,,
24,5.0,,,,,,,
25,5.0,,,,,,,
26,5.0,,,,,,,
27,5.0,,,,,,,
28,5.0,,,,,,,
29,5.0,,,,,,,
30,5.0,0.5461948326128481,0.36363636363636365,0.008920606601248885,0.0174140182847192,0.4980535670751073,0.4500117266553688,9947
31,5.0,,,,,,,
32,5.0,,,,,,,
33,5.0,,,,,,,
34,5.0,,,,,,,
35,5.0,,,,,,,
36,5.0,,,,,,,
37,5.0,,,,,,,
38,5.0,,,,,,,
39,5.0,,,,,,,
40,5.0,0.5400623303508596,0.43116490166414523,0.0635593220338983,0.11078717201166181,0.4973663350056001,0.4495418766721244,9947
41,5.0,,,,,,,
42,5.0,,,,,,,
43,5.0,,,,,,,
44,5.0,,,,,,,
45,5.0,,,,,,,
46,5.0,,,,,,,
47,5.0,,,,,,,
48,5.0,,,,,,,
49,5.0,,,,,,,
50,5.0,0.4828591535136222,0.45673833245936024,0.7769848349687779,0.5752972258916776,0.5091932215146808,0.4554115818368761,9947
1,1.0,,,,,,,
2,1.0,,,,,,,
3,1.0,,,,,,,
4,1.0,,,,,,,
5,1.0,,,,,,,
6,1.0,,,,,,,
7,1.0,,,,,,,
8,1.0,,,,,,,
9,1.0,,,,,,,
10,1.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
11,1.0,,,,,,,
12,1.0,,,,,,,
13,1.0,,,,,,,
14,1.0,,,,,,,
15,1.0,,,,,,,
16,1.0,,,,,,,
17,1.0,,,,,,,
18,1.0,,,,,,,
19,1.0,,,,,,,
20,1.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
21,1.0,,,,,,,
22,1.0,,,,,,,
23,1.0,,,,,,,
24,1.0,,,,,,,
25,1.0,,,,,,,
26,1.0,,,,,,,
27,1.0,,,,,,,
28,1.0,,,,,,,
29,1.0,,,,,,,
30,1.0,0.5439831104855736,0.4312169312169312,0.03635147190008921,0.06705059646236117,0.4984979032573849,0.45007770251949103,9947
31,1.0,,,,,,,
32,1.0,,,,,,,
33,1.0,,,,,,,
34,1.0,,,,,,,
35,1.0,,,,,,,
36,1.0,,,,,,,
37,1.0,,,,,,,
38,1.0,,,,,,,
39,1.0,,,,,,,
40,1.0,0.5493113501558259,0.501779359430605,0.03144513826940232,0.05918153200419727,0.5029090966836669,0.4523925758268181,9947
41,1.0,,,,,,,
42,1.0,,,,,,,
43,1.0,,,,,,,
44,1.0,,,,,,,
45,1.0,,,,,,,
46,1.0,,,,,,,
47,1.0,,,,,,,
48,1.0,,,,,,,
49,1.0,,,,,,,
50,1.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
1,1.0,,,,,,,
2,1.0,,,,,,,
3,1.0,,,,,,,
